show_id,rating,listed_in,Age Group
s1654,TV-14,Thrillers,Teens
s1655,TV-MA,International TV Shows,Adults
s1655,TV-MA,Romantic TV Shows,Adults
s1655,TV-MA,TV Comedies,Adults
s1656,TV-Y,Children & Family Movies,Kids
s1656,TV-Y,Comedies,Kids
s1657,R,Dramas,Adults
s1658,TV-MA,Dramas,Adults
s1658,TV-MA,International Movies,Adults
s1659,TV-14,International TV Shows,Teens
s1659,TV-14,TV Comedies,Teens
s1659,TV-14,TV Dramas,Teens
s1660,R,Action & Adventure,Adults
s1661,TV-MA,Documentaries,Adults
s1661,TV-MA,Music & Musicals,Adults
s1662,TV-MA,International TV Shows,Adults
s1662,TV-MA,Romantic TV Shows,Adults
s1662,TV-MA,TV Dramas,Adults
s1663,TV-14,Action & Adventure,Teens
s1663,TV-14,Comedies,Teens
s1663,TV-14,International Movies,Teens
s1664,TV-PG,Children & Family Movies,Teens
s1664,TV-PG,Music & Musicals,Teens
s1665,R,Action & Adventure,Adults
s1666,TV-14,International Movies,Teens
s1666,TV-14,Thrillers,Teens
s1667,TV-Y,Children & Family Movies,Kids
s1668,TV-G,Docuseries,Other
s1668,TV-G,International TV Shows,Other
s1669,TV-14,International TV Shows,Teens
s1669,TV-14,TV Dramas,Teens
s1670,PG,Dramas,Teens
s1671,TV-MA,International TV Shows,Adults
s1671,TV-MA,Romantic TV Shows,Adults
s1671,TV-MA,TV Comedies,Adults
s1672,TV-PG,Children & Family Movies,Teens
s1672,TV-PG,Comedies,Teens
s1673,TV-PG,Docuseries,Teens
s1673,TV-PG,Reality TV,Teens
s1674,TV-MA,Dramas,Adults
s1674,TV-MA,International Movies,Adults
s1675,TV-14,Action & Adventure,Teens
s1675,TV-14,Comedies,Teens
s1675,TV-14,International Movies,Teens
s1676,TV-14,Comedies,Teens
s1676,TV-14,International Movies,Teens
s1676,TV-14,Music & Musicals,Teens
s1677,TV-14,Dramas,Teens
s1677,TV-14,International Movies,Teens
s1677,TV-14,Romantic Movies,Teens
s1678,TV-14,International Movies,Teens
s1678,TV-14,Romantic Movies,Teens
s1679,TV-MA,International Movies,Adults
s1679,TV-MA,Thrillers,Adults
s1680,TV-14,Action & Adventure,Teens
s1680,TV-14,Dramas,Teens
s1680,TV-14,International Movies,Teens
s1681,TV-14,Dramas,Teens
s1681,TV-14,International Movies,Teens
s1681,TV-14,Thrillers,Teens
s1682,TV-G,Children & Family Movies,Other
s1682,TV-G,Comedies,Other
s1682,TV-G,Dramas,Other
s1683,TV-G,Comedies,Other
s1683,TV-G,Dramas,Other
s1683,TV-G,International Movies,Other
s1684,TV-14,Comedies,Teens
s1684,TV-14,International Movies,Teens
s1685,TV-G,Reality TV,Other
s1686,TV-PG,Dramas,Teens
s1686,TV-PG,International Movies,Teens
s1687,TV-MA,Stand-Up Comedy,Adults
s1688,TV-Y7,Kids' TV,Kids
s1688,TV-Y7,TV Comedies,Kids
s1689,TV-MA,Docuseries,Adults
s1689,TV-MA,Reality TV,Adults
s1690,PG-13,Dramas,Adults
s1690,PG-13,Romantic Movies,Adults
s1691,R,Documentaries,Adults
s1692,TV-G,Music & Musicals,Other
s1692,TV-G,Romantic Movies,Other
s1693,TV-14,Reality TV,Teens
s1694,TV-Y,Anime Series,Kids
s1694,TV-Y,Kids' TV,Kids
s1695,PG,Children & Family Movies,Teens
s1695,PG,Comedies,Teens
s1696,TV-G,Romantic Movies,Other
s1697,TV-Y,Kids' TV,Kids
s1698,TV-14,Reality TV,Teens
s1699,TV-MA,British TV Shows,Adults
s1699,TV-MA,International TV Shows,Adults
s1699,TV-MA,TV Dramas,Adults
s1700,TV-G,Children & Family Movies,Other
s1700,TV-G,Classic Movies,Other
s1700,TV-G,Comedies,Other
s1701,TV-14,Thrillers,Teens
s1702,TV-MA,TV Horror,Adults
s1702,TV-MA,TV Mysteries,Adults
s1702,TV-MA,TV Thrillers,Adults
s1703,TV-Y7,Children & Family Movies,Kids
s1703,TV-Y7,Comedies,Kids
s1704,PG,Children & Family Movies,Teens
s1704,PG,Music & Musicals,Teens
s1705,TV-PG,Documentaries,Teens
s1705,TV-PG,International Movies,Teens
s1706,PG-13,Dramas,Adults
s1706,PG-13,International Movies,Adults
s1707,TV-MA,Crime TV Shows,Adults
s1707,TV-MA,International TV Shows,Adults
s1707,TV-MA,Spanish-Language TV Shows,Adults
s1708,TV-G,International Movies,Other
s1708,TV-G,Romantic Movies,Other
s1709,TV-MA,International TV Shows,Adults
s1709,TV-MA,TV Dramas,Adults
s1710,TV-MA,Dramas,Adults
s1710,TV-MA,International Movies,Adults
s1710,TV-MA,Romantic Movies,Adults
s1711,R,Dramas,Adults
s1711,R,Independent Movies,Adults
s1712,TV-MA,Crime TV Shows,Adults
s1712,TV-MA,International TV Shows,Adults
s1712,TV-MA,TV Dramas,Adults
s1713,TV-MA,Comedies,Adults
s1713,TV-MA,Dramas,Adults
s1713,TV-MA,International Movies,Adults
s1714,TV-MA,Dramas,Adults
s1714,TV-MA,International Movies,Adults
s1714,TV-MA,LGBTQ Movies,Adults
s1715,PG-13,Horror Movies,Adults
s1716,TV-14,International TV Shows,Teens
s1716,TV-14,Reality TV,Teens
s1717,TV-MA,TV Comedies,Adults
s1718,TV-MA,TV Action & Adventure,Adults
s1718,TV-MA,TV Dramas,Adults
s1719,TV-MA,Crime TV Shows,Adults
s1719,TV-MA,Docuseries,Adults
s1720,TV-14,Documentaries,Teens
s1720,TV-14,International Movies,Teens
s1721,TV-MA,Dramas,Adults
s1721,TV-MA,International Movies,Adults
s1722,TV-14,TV Shows,Teens
s1723,TV-14,Romantic TV Shows,Teens
s1723,TV-14,TV Comedies,Teens
s1723,TV-14,TV Dramas,Teens
s1724,TV-Y7,Anime Series,Kids
s1724,TV-Y7,Kids' TV,Kids
s1725,TV-PG,Anime Series,Teens
s1725,TV-PG,Kids' TV,Teens
s1726,TV-MA,Dramas,Adults
s1726,TV-MA,International Movies,Adults
s1727,TV-PG,Reality TV,Teens
s1728,TV-MA,Dramas,Adults
s1728,TV-MA,International Movies,Adults
s1729,TV-MA,Dramas,Adults
s1729,TV-MA,Independent Movies,Adults
s1729,TV-MA,International Movies,Adults
s1730,R,Comedies,Adults
s1731,TV-MA,International TV Shows,Adults
s1731,TV-MA,TV Comedies,Adults
s1731,TV-MA,TV Dramas,Adults
s1732,TV-MA,Dramas,Adults
s1732,TV-MA,LGBTQ Movies,Adults
s1732,TV-MA,Romantic Movies,Adults
s1733,TV-14,Dramas,Teens
s1733,TV-14,International Movies,Teens
s1733,TV-14,Romantic Movies,Teens
s1734,TV-14,Crime TV Shows,Teens
s1734,TV-14,Docuseries,Teens
s1734,TV-14,International TV Shows,Teens
s1735,TV-G,Comedies,Other
s1735,TV-G,Romantic Movies,Other
s1736,TV-14,Dramas,Teens
s1736,TV-14,International Movies,Teens
s1736,TV-14,Romantic Movies,Teens
s1737,TV-G,Children & Family Movies,Other
s1737,TV-G,Comedies,Other
s1737,TV-G,Romantic Movies,Other
s1738,TV-14,International TV Shows,Teens
s1738,TV-14,TV Dramas,Teens
s1738,TV-14,TV Horror,Teens
s1739,TV-G,Dramas,Other
s1739,TV-G,Romantic Movies,Other
s1740,TV-PG,Comedies,Teens
s1740,TV-PG,Dramas,Teens
s1740,TV-PG,Romantic Movies,Teens
s1741,TV-MA,International TV Shows,Adults
s1741,TV-MA,Romantic TV Shows,Adults
s1741,TV-MA,TV Comedies,Adults
s1742,TV-PG,Dramas,Teens
s1742,TV-PG,International Movies,Teens
s1743,TV-MA,Stand-Up Comedy,Adults
s1744,TV-14,Dramas,Teens
s1744,TV-14,International Movies,Teens
s1745,TV-PG,Documentaries,Teens
s1745,TV-PG,International Movies,Teens
s1746,TV-PG,Documentaries,Teens
s1747,TV-MA,International TV Shows,Adults
s1747,TV-MA,TV Comedies,Adults
s1747,TV-MA,TV Dramas,Adults
s1748,R,Sci-Fi & Fantasy,Adults
s1748,R,Thrillers,Adults
s1749,TV-MA,Reality TV,Adults
s1750,TV-PG,Children & Family Movies,Teens
s1750,TV-PG,Comedies,Teens
s1751,TV-14,Romantic TV Shows,Teens
s1751,TV-14,TV Dramas,Teens
s1751,TV-14,Teen TV Shows,Teens
s1752,TV-Y,Children & Family Movies,Kids
s1753,TV-Y,Children & Family Movies,Kids
s1754,PG,Children & Family Movies,Teens
s1755,TV-14,Reality TV,Teens
s1756,TV-14,Docuseries,Teens
s1757,TV-Y,Kids' TV,Kids
s1758,TV-Y,Kids' TV,Kids
s1759,TV-Y7,Kids' TV,Kids
s1760,TV-Y7,Kids' TV,Kids
s1761,TV-Y,Kids' TV,Kids
s1761,TV-Y,TV Comedies,Kids
s1762,PG,Children & Family Movies,Teens
s1762,PG,Comedies,Teens
s1763,R,Action & Adventure,Adults
s1764,R,Dramas,Adults
s1764,R,Independent Movies,Adults
s1764,R,Thrillers,Adults
s1765,R,Dramas,Adults
s1765,R,Thrillers,Adults
s1766,TV-Y,Kids' TV,Kids
s1766,TV-Y,TV Comedies,Kids
s1767,TV-MA,Crime TV Shows,Adults
s1767,TV-MA,International TV Shows,Adults
s1767,TV-MA,TV Dramas,Adults
s1768,PG-13,Dramas,Adults
s1769,PG,Action & Adventure,Teens
s1769,PG,Dramas,Teens
s1769,PG,Sports Movies,Teens
s1770,TV-14,Crime TV Shows,Teens
s1770,TV-14,International TV Shows,Teens
s1770,TV-14,Korean TV Shows,Teens
s1771,R,Comedies,Adults
s1771,R,Sports Movies,Adults
s1772,TV-PG,Docuseries,Teens
s1772,TV-PG,International TV Shows,Teens
s1773,TV-MA,Action & Adventure,Adults
s1773,TV-MA,Dramas,Adults
s1773,TV-MA,International Movies,Adults
s1774,TV-PG,International TV Shows,Teens
s1774,TV-PG,Reality TV,Teens
s1775,TV-14,Dramas,Teens
s1775,TV-14,Independent Movies,Teens
s1775,TV-14,Thrillers,Teens
s1776,TV-14,Horror Movies,Teens
s1776,TV-14,Independent Movies,Teens
s1777,TV-14,Dramas,Teens
s1777,TV-14,International Movies,Teens
s1778,TV-14,Horror Movies,Teens
s1778,TV-14,International Movies,Teens
s1779,TV-Y,Kids' TV,Kids
s1779,TV-Y,Korean TV Shows,Kids
s1780,TV-14,TV Action & Adventure,Teens
s1780,TV-14,TV Sci-Fi & Fantasy,Teens
s1781,TV-MA,Dramas,Adults
s1781,TV-MA,International Movies,Adults
s1781,TV-MA,Thrillers,Adults
s1782,TV-14,Docuseries,Teens
s1782,TV-14,Reality TV,Teens
s1783,TV-MA,Crime TV Shows,Adults
s1783,TV-MA,International TV Shows,Adults
s1783,TV-MA,TV Dramas,Adults
s1784,TV-MA,Horror Movies,Adults
s1784,TV-MA,International Movies,Adults
s1785,TV-14,Horror Movies,Teens
s1785,TV-14,International Movies,Teens
s1786,TV-MA,Comedies,Adults
s1786,TV-MA,Romantic Movies,Adults
s1787,TV-14,International Movies,Teens
s1788,R,Music & Musicals,Adults
s1789,TV-MA,Horror Movies,Adults
s1789,TV-MA,International Movies,Adults
s1790,TV-PG,Documentaries,Teens
s1791,TV-MA,Anime Series,Adults
s1792,TV-Y,Kids' TV,Kids
s1793,TV-14,Documentaries,Teens
s1793,TV-14,International Movies,Teens
s1793,TV-14,Sports Movies,Teens
s1794,TV-MA,Comedies,Adults
s1795,TV-14,International TV Shows,Teens
s1795,TV-14,Romantic TV Shows,Teens
s1795,TV-14,TV Mysteries,Teens
s1796,TV-14,Comedies,Teens
s1796,TV-14,International Movies,Teens
s1796,TV-14,Music & Musicals,Teens
s1797,R,Action & Adventure,Adults
s1797,R,Dramas,Adults
s1797,R,Independent Movies,Adults
s1798,TV-MA,Dramas,Adults
s1798,TV-MA,Music & Musicals,Adults
s1799,TV-MA,Comedies,Adults
s1799,TV-MA,International Movies,Adults
s1799,TV-MA,LGBTQ Movies,Adults
s1800,TV-MA,International TV Shows,Adults
s1800,TV-MA,TV Action & Adventure,Adults
s1800,TV-MA,TV Dramas,Adults
s1801,TV-MA,Docuseries,Adults
s1801,TV-MA,International TV Shows,Adults
s1802,PG,Children & Family Movies,Teens
s1802,PG,Music & Musicals,Teens
s1803,TV-14,Dramas,Teens
s1803,TV-14,Thrillers,Teens
s1804,TV-MA,Crime TV Shows,Adults
s1804,TV-MA,International TV Shows,Adults
s1804,TV-MA,Spanish-Language TV Shows,Adults
s1805,TV-MA,TV Dramas,Adults
s1806,TV-MA,Documentaries,Adults
s1807,TV-MA,Horror Movies,Adults
s1807,TV-MA,International Movies,Adults
s1808,TV-MA,Dramas,Adults
s1808,TV-MA,International Movies,Adults
s1808,TV-MA,Romantic Movies,Adults
s1809,PG-13,Comedies,Adults
s1809,PG-13,Dramas,Adults
s1809,PG-13,Music & Musicals,Adults
s1810,TV-14,Dramas,Teens
s1810,TV-14,International Movies,Teens
s1810,TV-14,Romantic Movies,Teens
s1811,R,Dramas,Adults
s1811,R,Independent Movies,Adults
s1812,R,Comedies,Adults
s1812,R,Dramas,Adults
s1812,R,Independent Movies,Adults
s1813,TV-PG,Documentaries,Teens
s1813,TV-PG,International Movies,Teens
s1814,TV-MA,Stand-Up Comedy & Talk Shows,Adults
s1815,PG-13,Dramas,Adults
s1815,PG-13,Romantic Movies,Adults
s1815,PG-13,Thrillers,Adults
s1816,TV-Y,Children & Family Movies,Kids
s1817,PG-13,Action & Adventure,Adults
s1817,PG-13,Horror Movies,Adults
s1818,TV-14,Classic Movies,Teens
s1818,TV-14,Dramas,Teens
s1818,TV-14,International Movies,Teens
s1819,TV-14,Dramas,Teens
s1819,TV-14,International Movies,Teens
s1819,TV-14,Music & Musicals,Teens
s1820,TV-MA,Comedies,Adults
s1820,TV-MA,Dramas,Adults
s1820,TV-MA,International Movies,Adults
s1821,TV-14,Documentaries,Teens
s1821,TV-14,International Movies,Teens
s1822,TV-MA,Dramas,Adults
s1822,TV-MA,Independent Movies,Adults
s1822,TV-MA,International Movies,Adults
s1823,TV-MA,Classic Movies,Adults
s1823,TV-MA,Dramas,Adults
s1823,TV-MA,Independent Movies,Adults
s1824,TV-MA,Documentaries,Adults
s1824,TV-MA,International Movies,Adults
s1825,TV-MA,Dramas,Adults
s1825,TV-MA,International Movies,Adults
s1826,TV-MA,Dramas,Adults
s1826,TV-MA,International Movies,Adults
s1826,TV-MA,Romantic Movies,Adults
s1827,TV-14,Dramas,Teens
s1827,TV-14,Independent Movies,Teens
s1827,TV-14,International Movies,Teens
s1828,TV-MA,Dramas,Adults
s1828,TV-MA,Independent Movies,Adults
s1828,TV-MA,International Movies,Adults
s1829,TV-MA,Crime TV Shows,Adults
s1829,TV-MA,Docuseries,Adults
s1830,TV-MA,Dramas,Adults
s1830,TV-MA,International Movies,Adults
s1831,TV-14,Comedies,Teens
s1831,TV-14,International Movies,Teens
s1831,TV-14,Romantic Movies,Teens
s1832,TV-14,Documentaries,Teens
s1832,TV-14,International Movies,Teens
s1833,TV-MA,Dramas,Adults
s1833,TV-MA,International Movies,Adults
s1834,PG,Children & Family Movies,Teens
s1834,PG,Comedies,Teens
s1835,TV-14,International TV Shows,Teens
s1835,TV-14,Romantic TV Shows,Teens
s1835,TV-14,TV Comedies,Teens
s1836,R,Action & Adventure,Adults
s1837,TV-MA,Comedies,Adults
s1837,TV-MA,International Movies,Adults
s1837,TV-MA,Romantic Movies,Adults
s1838,TV-MA,TV Dramas,Adults
s1838,TV-MA,Teen TV Shows,Adults
s1839,R,Action & Adventure,Adults
s1840,TV-MA,International TV Shows,Adults
s1840,TV-MA,TV Action & Adventure,Adults
s1840,TV-MA,TV Dramas,Adults
s1841,TV-MA,Crime TV Shows,Adults
s1841,TV-MA,International TV Shows,Adults
s1841,TV-MA,Spanish-Language TV Shows,Adults
s1842,TV-Y7,Kids' TV,Kids
s1842,TV-Y7,TV Comedies,Kids
s1843,R,Dramas,Adults
s1844,R,Horror Movies,Adults
s1844,R,Thrillers,Adults
s1845,TV-PG,Children & Family Movies,Teens
s1846,R,Action & Adventure,Adults
s1847,TV-14,Action & Adventure,Teens
s1847,TV-14,Comedies,Teens
s1847,TV-14,International Movies,Teens
s1848,TV-Y,British TV Shows,Kids
s1848,TV-Y,Kids' TV,Kids
s1849,TV-14,TV Comedies,Teens
s1850,TV-PG,Dramas,Teens
s1850,TV-PG,International Movies,Teens
s1851,TV-14,Dramas,Teens
s1851,TV-14,International Movies,Teens
s1851,TV-14,Romantic Movies,Teens
s1852,TV-14,TV Comedies,Teens
s1852,TV-14,Teen TV Shows,Teens
s1853,TV-Y7,Kids' TV,Kids
s1854,TV-PG,Documentaries,Teens
s1854,TV-PG,International Movies,Teens
s1855,TV-MA,TV Comedies,Adults
s1855,TV-MA,TV Dramas,Adults
s1856,TV-14,Action & Adventure,Teens
s1856,TV-14,International Movies,Teens
s1856,TV-14,Romantic Movies,Teens
s1857,TV-14,Documentaries,Teens
s1857,TV-14,Music & Musicals,Teens
s1858,TV-MA,Documentaries,Adults
s1858,TV-MA,International Movies,Adults
s1859,TV-14,International Movies,Teens
s1859,TV-14,Romantic Movies,Teens
s1859,TV-14,Thrillers,Teens
s1860,TV-Y,Children & Family Movies,Kids
s1861,TV-MA,Reality TV,Adults
s1861,TV-MA,TV Comedies,Adults
s1862,TV-14,Comedies,Teens
s1862,TV-14,Dramas,Teens
s1862,TV-14,International Movies,Teens
s1863,TV-14,Cult Movies,Teens
s1863,TV-14,Dramas,Teens
s1863,TV-14,International Movies,Teens
s1864,TV-MA,Comedies,Adults
s1864,TV-MA,International Movies,Adults
s1864,TV-MA,Romantic Movies,Adults
s1865,TV-Y7,Kids' TV,Kids
s1865,TV-Y7,TV Comedies,Kids
s1866,TV-14,Comedies,Teens
s1866,TV-14,International Movies,Teens
s1867,TV-14,Dramas,Teens
s1867,TV-14,International Movies,Teens
s1868,TV-MA,Horror Movies,Adults
s1869,TV-MA,Docuseries,Adults
s1870,TV-MA,Comedies,Adults
s1870,TV-MA,International Movies,Adults
s1870,TV-MA,Romantic Movies,Adults
s1871,TV-MA,Comedies,Adults
s1871,TV-MA,International Movies,Adults
s1872,TV-Y,Children & Family Movies,Kids
s1873,R,Comedies,Adults
s1873,R,Dramas,Adults
s1873,R,Independent Movies,Adults
s1874,TV-MA,TV Dramas,Adults
s1874,TV-MA,TV Horror,Adults
s1874,TV-MA,TV Mysteries,Adults
s1875,TV-MA,Documentaries,Adults
s1875,TV-MA,International Movies,Adults
s1875,TV-MA,Music & Musicals,Adults
s1876,TV-14,International TV Shows,Teens
s1876,TV-14,Romantic TV Shows,Teens
s1876,TV-14,TV Comedies,Teens
s1877,TV-MA,Dramas,Adults
s1877,TV-MA,International Movies,Adults
s1878,TV-14,Crime TV Shows,Teens
s1878,TV-14,International TV Shows,Teens
s1878,TV-14,TV Dramas,Teens
s1879,TV-MA,TV Action & Adventure,Adults
s1879,TV-MA,TV Dramas,Adults
s1879,TV-MA,TV Sci-Fi & Fantasy,Adults
s1880,PG-13,Comedies,Adults
s1880,PG-13,Horror Movies,Adults
s1881,TV-MA,International TV Shows,Adults
s1881,TV-MA,TV Dramas,Adults
s1881,TV-MA,TV Mysteries,Adults
s1882,R,Comedies,Adults
s1883,TV-14,Documentaries,Teens
s1883,TV-14,Music & Musicals,Teens
s1884,TV-Y,Children & Family Movies,Kids
s1885,TV-14,Dramas,Teens
s1885,TV-14,Romantic Movies,Teens
s1886,TV-14,British TV Shows,Teens
s1886,TV-14,Docuseries,Teens
s1886,TV-14,International TV Shows,Teens
s1887,PG,Documentaries,Teens
s1888,TV-MA,Documentaries,Adults
s1888,TV-MA,LGBTQ Movies,Adults
s1889,TV-14,Dramas,Teens
s1889,TV-14,International Movies,Teens
s1889,TV-14,Sports Movies,Teens
s1890,TV-Y,Kids' TV,Kids
s1891,TV-Y,Kids' TV,Kids
s1892,TV-14,Comedies,Teens
s1892,TV-14,International Movies,Teens
s1892,TV-14,Romantic Movies,Teens
s1893,TV-Y,Children & Family Movies,Kids
s1894,TV-PG,Kids' TV,Teens
s1894,TV-PG,TV Comedies,Teens
s1895,TV-MA,Romantic TV Shows,Adults
s1895,TV-MA,TV Comedies,Adults
s1895,TV-MA,TV Dramas,Adults
s1896,TV-PG,Kids' TV,Teens
s1896,TV-PG,TV Dramas,Teens
s1897,TV-MA,Dramas,Adults
s1897,TV-MA,International Movies,Adults
s1898,TV-MA,Comedies,Adults
s1898,TV-MA,Dramas,Adults
s1898,TV-MA,International Movies,Adults
s1899,TV-MA,Horror Movies,Adults
s1899,TV-MA,International Movies,Adults
s1899,TV-MA,Thrillers,Adults
s1900,TV-MA,Comedies,Adults
s1900,TV-MA,International Movies,Adults
s1900,TV-MA,Romantic Movies,Adults
s1901,PG-13,Comedies,Adults
s1901,PG-13,Horror Movies,Adults
s1902,TV-MA,Comedies,Adults
s1902,TV-MA,International Movies,Adults
s1902,TV-MA,Romantic Movies,Adults
s1903,TV-PG,Action & Adventure,Teens
s1903,TV-PG,Comedies,Teens
s1903,TV-PG,International Movies,Teens
s1904,R,Dramas,Adults
s1904,R,Thrillers,Adults
s1905,TV-14,Documentaries,Teens
s1905,TV-14,LGBTQ Movies,Teens
s1906,TV-MA,Action & Adventure,Adults
s1906,TV-MA,Dramas,Adults
s1906,TV-MA,International Movies,Adults
s1907,TV-14,TV Dramas,Teens
s1908,TV-MA,International TV Shows,Adults
s1908,TV-MA,Romantic TV Shows,Adults
s1908,TV-MA,TV Dramas,Adults
s1909,TV-MA,Anime Series,Adults
s1909,TV-MA,International TV Shows,Adults
s1909,TV-MA,Teen TV Shows,Adults
s1910,R,Action & Adventure,Adults
s1910,R,Dramas,Adults
s1911,TV-MA,Crime TV Shows,Adults
s1911,TV-MA,International TV Shows,Adults
s1911,TV-MA,TV Mysteries,Adults
s1912,TV-14,Documentaries,Teens
s1913,PG-13,Action & Adventure,Adults
s1913,PG-13,Comedies,Adults
s1913,PG-13,Dramas,Adults
s1914,TV-MA,Documentaries,Adults
s1914,TV-MA,International Movies,Adults
s1915,TV-MA,Docuseries,Adults
s1915,TV-MA,International TV Shows,Adults
s1916,TV-MA,International TV Shows,Adults
s1916,TV-MA,TV Dramas,Adults
s1917,PG-13,Documentaries,Adults
s1917,PG-13,Music & Musicals,Adults
s1918,TV-MA,International TV Shows,Adults
s1918,TV-MA,Romantic TV Shows,Adults
s1918,TV-MA,Spanish-Language TV Shows,Adults
s1919,TV-MA,Anime Series,Adults
s1919,TV-MA,International TV Shows,Adults
s1920,TV-PG,Comedies,Teens
s1920,TV-PG,International Movies,Teens
s1920,TV-PG,Romantic Movies,Teens
s1921,TV-14,Comedies,Teens
s1921,TV-14,Independent Movies,Teens
s1921,TV-14,International Movies,Teens
s1922,R,Action & Adventure,Adults
s1922,R,Dramas,Adults
s1923,TV-PG,TV Comedies,Teens
s1924,TV-14,TV Comedies,Teens
s1924,TV-14,TV Dramas,Teens
s1925,TV-14,Dramas,Teens
s1925,TV-14,Thrillers,Teens
s1926,TV-MA,Crime TV Shows,Adults
s1926,TV-MA,International TV Shows,Adults
s1926,TV-MA,Spanish-Language TV Shows,Adults
s1927,TV-MA,Documentaries,Adults
s1928,TV-PG,Dramas,Teens
s1928,TV-PG,International Movies,Teens
s1929,TV-MA,Anime Series,Adults
s1929,TV-MA,International TV Shows,Adults
s1930,TV-PG,TV Comedies,Teens
s1931,TV-MA,Dramas,Adults
s1931,TV-MA,International Movies,Adults
s1931,TV-MA,Thrillers,Adults
s1932,R,Dramas,Adults
s1932,R,LGBTQ Movies,Adults
s1933,TV-MA,Documentaries,Adults
s1933,TV-MA,LGBTQ Movies,Adults
s1934,TV-MA,Crime TV Shows,Adults
s1934,TV-MA,TV Dramas,Adults
s1935,PG-13,Documentaries,Adults
s1936,TV-MA,Stand-Up Comedy,Adults
s1937,R,Action & Adventure,Adults
s1938,PG-13,Documentaries,Adults
s1938,PG-13,International Movies,Adults
s1938,PG-13,Music & Musicals,Adults
s1939,TV-PG,Dramas,Teens
s1939,TV-PG,Independent Movies,Teens
s1939,TV-PG,International Movies,Teens
s1940,TV-14,Comedies,Teens
s1940,TV-14,Dramas,Teens
s1940,TV-14,International Movies,Teens
s1941,TV-MA,Comedies,Adults
s1941,TV-MA,International Movies,Adults
s1941,TV-MA,Music & Musicals,Adults
s1942,TV-PG,Comedies,Teens
s1942,TV-PG,International Movies,Teens
s1942,TV-PG,Music & Musicals,Teens
s1943,TV-14,Comedies,Teens
s1943,TV-14,International Movies,Teens
s1943,TV-14,Romantic Movies,Teens
s1944,TV-14,Comedies,Teens
s1944,TV-14,International Movies,Teens
s1944,TV-14,Music & Musicals,Teens
s1945,TV-14,Dramas,Teens
s1945,TV-14,International Movies,Teens
s1945,TV-14,Romantic Movies,Teens
s1946,TV-14,Dramas,Teens
s1946,TV-14,International Movies,Teens
s1946,TV-14,Thrillers,Teens
s1947,TV-PG,Comedies,Teens
s1947,TV-PG,International Movies,Teens
s1947,TV-PG,Music & Musicals,Teens
s1948,TV-PG,Docuseries,Teens
s1949,TV-MA,International TV Shows,Adults
s1949,TV-MA,TV Action & Adventure,Adults
s1949,TV-MA,TV Dramas,Adults
s1950,TV-14,TV Comedies,Teens
s1951,TV-14,Dramas,Teens
s1951,TV-14,Independent Movies,Teens
s1951,TV-14,International Movies,Teens
s1952,TV-14,Crime TV Shows,Teens
s1952,TV-14,Docuseries,Teens
s1952,TV-14,International TV Shows,Teens
s1953,TV-Y,Kids' TV,Kids
s1953,TV-Y,TV Comedies,Kids
s1954,TV-MA,Dramas,Adults
s1954,TV-MA,International Movies,Adults
s1955,TV-MA,TV Comedies,Adults
s1956,TV-MA,International TV Shows,Adults
s1956,TV-MA,TV Dramas,Adults
s1956,TV-MA,TV Mysteries,Adults
s1957,TV-MA,Documentaries,Adults
s1957,TV-MA,International Movies,Adults
s1957,TV-MA,Music & Musicals,Adults
s1958,PG-13,Action & Adventure,Adults
s1958,PG-13,Sci-Fi & Fantasy,Adults
s1958,PG-13,Sports Movies,Adults
s1959,TV-MA,Docuseries,Adults
s1960,PG-13,Action & Adventure,Adults
s1960,PG-13,Children & Family Movies,Adults
s1960,PG-13,Dramas,Adults
s1961,TV-G,Documentaries,Other
s1962,TV-MA,Docuseries,Adults
s1963,TV-PG,Documentaries,Teens
s1964,TV-PG,Dramas,Teens
s1964,TV-PG,International Movies,Teens
s1965,TV-MA,Action & Adventure,Adults
s1965,TV-MA,International Movies,Adults
s1966,TV-MA,Action & Adventure,Adults
s1966,TV-MA,International Movies,Adults
s1967,TV-MA,Action & Adventure,Adults
s1967,TV-MA,International Movies,Adults
s1968,TV-MA,Action & Adventure,Adults
s1968,TV-MA,International Movies,Adults
s1969,TV-MA,Action & Adventure,Adults
s1969,TV-MA,International Movies,Adults
s1970,TV-MA,Action & Adventure,Adults
s1970,TV-MA,International Movies,Adults
s1971,TV-MA,Horror Movies,Adults
s1971,TV-MA,International Movies,Adults
s1971,TV-MA,Thrillers,Adults
s1972,TV-14,Comedies,Teens
s1972,TV-14,International Movies,Teens
s1973,TV-14,Action & Adventure,Teens
s1973,TV-14,International Movies,Teens
s1974,TV-Y,Kids' TV,Kids
s1974,TV-Y,TV Comedies,Kids
s1975,TV-MA,Dramas,Adults
s1975,TV-MA,International Movies,Adults
s1975,TV-MA,Romantic Movies,Adults
s1976,TV-14,Comedies,Teens
s1976,TV-14,International Movies,Teens
s1977,TV-MA,Dramas,Adults
s1977,TV-MA,International Movies,Adults
s1977,TV-MA,Thrillers,Adults
s1978,TV-MA,Dramas,Adults
s1978,TV-MA,Independent Movies,Adults
s1978,TV-MA,International Movies,Adults
s1979,TV-MA,TV Dramas,Adults
s1979,TV-MA,TV Horror,Adults
s1979,TV-MA,TV Mysteries,Adults
s1980,TV-G,Reality TV,Other
s1981,TV-14,Crime TV Shows,Teens
s1981,TV-14,TV Dramas,Teens
